linkPVID,surveyedSlopeInfo,surveyedSlope,derivedSlopeList,derivedSlope,error
51865408,"[-0.036, -0.027, -0.009]",-0.023999999999999997,"[0.0, 1.5035567241267973, 0.0]",0.5011855747089324,-0.5251855747089325
51866677,"[-0.006, 0.002]",-0.002,[1.5505604417924723],1.5505604417924723,-1.5525604417924723
51866678,"[0.056, -0.113, -0.006]",-0.021,[-1.5629866922606945],-1.5629866922606945,1.5419866922606946
51867079,"[0.052, -0.114, -0.145]",-0.06899999999999999,"[1.5448619321915018, 0.0, -1.5593246296739531, -1.5432915173285504, 1.5157717271101856]",-0.008396497540163228,-0.06060350245983676
51867087,"[-0.496, -0.157]",-0.3265,"[1.5630970169675897, -1.5703657870317709, -1.5707316565790366, 0.0, 0.0, 0.0]",-0.26300007110720297,-0.06349992889279704
51867664,"[0.048, 0.032]",0.04,"[0.0, 1.5671271606100763, 1.5583317520385558]",1.041819637549544,-1.001819637549544
51867666,"[0.058, 0.025, 0.058]",0.04700000000000001,[0.0],0.0,0.04700000000000001
51867774,"[0.032, 0.081, 0.144]",0.08566666666666667,"[1.503169675338605, 0.0]",0.7515848376693025,-0.6659181710026358
51869456,"[0.059, -0.661, -1.606, -1.929, -1.812, -1.33, -0.058, 0.145, 0.259, 0.125]",-0.6808,[0.0],0.0,-0.6808
51881430,"[0.016, 0.093, 0.226]",0.11166666666666668,[1.51301296461312],1.51301296461312,-1.4013462979464535
51881672,"[-0.09, 0.062]",-0.013999999999999999,[0.0],0.0,-0.013999999999999999
51881767,"[0.062, 0.17, 0.081]",0.10433333333333333,"[0.0, 0.0, 1.5691095811040514, 0.0, -1.5703015277061492, 1.570398118718084, 0.0, 0.0, 0.0, -1.5221724716955953]",0.00470337004203909,0.09962996329129424
51881768,"[0.081, -0.114]",-0.0165,"[1.5529192056958738, 0.0, -1.553837106946861, -1.544647176545045]",-0.38639126944900803,0.369891269449008
51882111,"[-0.002, -0.141]",-0.0715,[0.0],0.0,-0.0715
51883083,"[0.266, 0.7, 1.79, 2.128, 2.041, 1.777, 0.483, 0.291, 0.404, 0.798]",1.0677999999999999,"[1.4763371788197523, -1.4766739607473094]",-0.0001683909637785197,1.0679683909637783
51883238,"[1.019, 0.356, -0.185, -0.755]",0.10874999999999999,"[0.0, 0.0]",0.0,0.10874999999999999
51883362,"[1.379, 1.119, 1.063, 1.054]",1.15375,[1.5377432784848404],1.5377432784848404,-0.38399327848484033
51883509,"[-1.365, -1.417, -1.342, -1.15, -0.942, -0.654, -0.409, -0.217, -0.121]",-0.8463333333333334,[-1.5319097829696535],-1.5319097829696535,0.6855764496363201
